,Agent,BHK_Apartment,Price_in_lakhs,Per_Square_ft_price,Aprtment_Size,Status
4560,Kosher Proctor I Pvt Ltd,2 ,94.11,"6,600 / sq ft",1426 ,Under Construction
4561,Kastro Realty,3 ,1.31,"6,399 / sq ft",2060 ,Under Construction
4562,Kosher Proctor I Pvt Ltd,2 ,35.69,"2,950 / sq ft",1210 ,Under Construction
4563,Kosher Proctor I Pvt Ltd,2 ,35.69,"2,950 / sq ft",1210 ,Under Construction
4564,Ayyappa Properties,2 ,30.1,"2,485 / sq ft",1211 ,Ready to move
4565,Ayyappa Properties,2 ,33.1,"2,733 / sq ft",1211 ,Ready to move
4566,Ayyappa Properties,3 ,39.1,"2,728 / sq ft",1433 ,Ready to move
4567,Kosher Proctor I Pvt Ltd,2 ,35.75,"2,950 / sq ft",1212 ,Under Construction
4568,Kosher Proctor I Pvt Ltd,2 ,35.72,"2,950 / sq ft",1211 ,Under Construction
4569,Kosher Proctor I Pvt Ltd,2 ,35.69,"2,950 / sq ft",1210 ,Under Construction
4570,Kastro Realty,3 ,2,"9,610 / sq ft",2081 ,Ready to move
4571,Kosher Proctor I Pvt Ltd,2 ,35.72,"2,950 / sq ft",1211 ,Under Construction
4572,HOMELAND REALTY SOLUTIONS,3 ,75.59,"5,550 / sq ft",1362 ,Ready to move
4573,Kosher Proctor I Pvt Ltd,2 ,31.04,"3,200 / sq ft",970 ,Under Construction
4574,Mohan Rao,3 ,80,"5,102 / sq ft",1568 ,Under Construction
4575,Kosher Proctor I Pvt Ltd,3 ,1.14,"6,600 / sq ft",1740 ,Under Construction
4576,suresh,2 ,47,"3,760 / sq ft",1250 ,Under Construction
4577,Royal Rajputana Co,1 ,35,"5,833 / sq ft",600 ,Ready to move
4578,Srikanth,4 ,1.12,"4,869 / sq ft",2300 ,Ready to move
4579,Kranthi C,3 ,58,"3,851 / sq ft",1506 ,Ready to move
4580,Sai Deeksha Developers,Residential Plot,30,"1,666 / sq ft",1800 ,New
4581,Sai Deeksha Developers,Residential Plot,25.05,"1,666 / sq ft",1503 ,New
4582,Pranay Bandam,2 ,37.4,"3,400 / sq ft",1100 ,Under Construction
4583,Pranay Bandam,2 ,32.79,"3,000 / sq ft",1093 ,Under Construction
4584,Pranay Bandam,2 ,32.3,"3,400 / sq ft",950 ,Under Construction
4585,Pranay Bandam,2 ,39.78,"3,400 / sq ft",1170 ,Under Construction
4586,Pranay Bandam,2 ,33.72,"3,000 / sq ft",1124 ,Under Construction
4587,Pranay Bandam,2 ,39.81,"3,397 / sq ft",1172 ,Under Construction
4588,Pranay Bandam,2 ,33.69,"3,000 / sq ft",1123 ,Under Construction
4589,Pranay Bandam,2 ,38.79,"3,400 / sq ft",1141 ,Under Construction
4590,Pranay Bandam,2 ,37.5,"3,400 / sq ft",1103 ,Under Construction
4591,Pranay Bandam,2 ,34.59,"3,000 / sq ft",1153 ,Under Construction
4592,Pranay Bandam,2 ,38.48,"3,399 / sq ft",1132 ,Under Construction
4593,Pranay Bandam,2 ,39.81,"3,400 / sq ft",1171 ,Under Construction
4594,Pranay Bandam,2 ,36.63,"3,000 / sq ft",1221 ,Under Construction
4595,Pranay Bandam,2 ,36.41,"3,400 / sq ft",1071 ,Under Construction
4596,Pranay Bandam,2 ,33,"3,000 / sq ft",1100 ,Under Construction
4597,Pranay Bandam,2 ,28.41,"2,600 / sq ft",1093 ,Under Construction
4598,Pranay Bandam,2 ,36.45,"3,000 / sq ft",1215 ,Under Construction
4599,Pranay Bandam,2 ,35.1,"3,000 / sq ft",1170 ,Under Construction
4600,Pranay Bandam,2 ,35.1,"3,000 / sq ft",1170 ,Under Construction
4601,Pranay Bandam,2 ,29.22,"2,600 / sq ft",1124 ,Under Construction
4602,Pranay Bandam,2 ,40.63,"3,400 / sq ft",1195 ,Under Construction
4603,Prasad,Residential Plot,27,"2,000 / sq ft",1350 ,New
4604,Sai Deeksha Developers,Residential Plot,40.05,"1,666 / sq ft",2403 ,New
4605,Sai Deeksha Developers,Residential Plot,30,"1,666 / sq ft",1800 ,New
4606,Sai Deeksha Developers,Residential Plot,25.05,"1,666 / sq ft",1503 ,New
4607,Nabid,Residential Plot,1.32,"6,666 / sq ft",1980 ,Resale
4608,Ayyappa Properties,3 ,48,"2,181 / sq ft",2200 ,Ready to move
4609,Dhathrri services,Residential Plot,44,"2,444 / sq ft",1800 ,New
4610,Nabid,3 ,47,"3,760 / sq ft",1250 ,Ready to move
4611,Individual Agent,4 ,2.48,"7,750 / sq ft",3200 ,Ready to move
4612,Kosher Proctor I Pvt Ltd,3 ,1.21,"6,000 / sq ft",2030 ,Ready to move
4613,PROPBELLC,3 ,99.88,"5,999 / sq ft",1665 ,Under Construction
4614,Bestpropin,3 ,1.07,"5,619 / sq ft",1905 ,Ready to move
4615,PROPBELLC,3 ,1.25,"6,112 / sq ft",2045 ,Ready to move
4616,Ayyappa Properties,3 ,53,"3,212 / sq ft",1650 ,Ready to move
4617,Kosher Proctor I Pvt Ltd,3 ,1.04,"6,000 / sq ft",1735 ,Ready to move
4618,Kosher Proctor I Pvt Ltd,3 ,1.08,"6,000 / sq ft",1805 ,Ready to move
4619,Ayyappa Properties,3 ,49,"1,960 / sq ft",2500 ,Ready to move
4620,PROPBELLC,3 ,1.25,"6,112 / sq ft",2045 ,Ready to move
4621,Royal Rajputana Co,2 ,38,"4,337 / sq ft",876 ,Ready to move
4622,Royal Rajputana Co,3 ,91.25,"5,289 / sq ft",1725 ,Ready to move
4623,Royal Rajputana Co,2 ,65,"5,200 / sq ft",1250 ,Ready to move
4624,Nabid,4 ,72,"4,705 / sq ft",1530 ,Ready to move
4625,Fido Property Management,3 ,85,"5,573 / sq ft",1525 ,Ready to move
4626,Fido Property Management,3 ,85,"5,573 / sq ft",1525 ,Ready to move
4627,Fido Property Management,3 ,85,"5,573 / sq ft",1525 ,Ready to move
4628,Fido Property Management,3 ,85,"5,573 / sq ft",1525 ,Ready to move
4629,Fido Property Management,3 ,85,"5,573 / sq ft",1525 ,Ready to move
4630,Fido Property Management,3 ,85,"5,573 / sq ft",1525 ,Ready to move
4631,Fido Property Management,3 ,85,"5,573 / sq ft",1525 ,Ready to move
4632,Hrushi Properties,3 ,58,"3,647 / sq ft",1590 ,Under Construction
4633,Kastro Realty,3 ,1.25,"7,812 / sq ft",1600 ,Under Construction
4634,Kastro Realty,3 ,1.4,"7,272 / sq ft",1925 ,Under Construction
4635,Kazim Co Real Estate,3 ,88,"4,772 / sq ft",1844 ,Ready to move
4636,Sai Deeksha Developers,2 ,84,"5,911 / sq ft",1421 ,Under Construction
4637,Kosher Proctor I Pvt Ltd,2 ,31.68,"3,200 / sq ft",990 ,Under Construction
4638,Kosher Proctor I Pvt Ltd,2 ,31.2,"3,200 / sq ft",975 ,Under Construction
4639,Kosher Proctor I Pvt Ltd,2 ,31.68,"3,200 / sq ft",990 ,Under Construction
4640,Kosher Proctor I Pvt Ltd,2 ,31.2,"3,200 / sq ft",975 ,Under Construction
4641,Ravi Varma,2 ,38.79,"3,400 / sq ft",1141 ,Under Construction
4642,Ravi Varma,2 ,39.78,"3,400 / sq ft",1170 ,Under Construction
4643,Ravi Varma,2 ,37.4,"3,400 / sq ft",1100 ,Under Construction
4644,Ravi Varma,2 ,41.31,"3,400 / sq ft",1215 ,Under Construction
4645,Kranthi C,3 ,58.99,"4,214 / sq ft",1400 ,Ready to move
4646,Kranthi C,3 ,58.99,"4,214 / sq ft",1400 ,Ready to move
4647,Ravi Varma,2 ,36.63,"3,000 / sq ft",1221 ,Under Construction
4648,Kranthi C,3 ,58,"4,142 / sq ft",1400 ,Ready to move
4649,Kranthi C,3 ,58,"4,142 / sq ft",1400 ,Ready to move
4650,Dvr eastates,Residential Plot,10,740 / sq ft,1350 ,New
4651,Dvr eastates,Residential Plot,4.99,555 / sq ft,900 ,New
4652,Dvr eastates,Residential Plot,26,"1,444 / sq ft",1800 ,New
4653,Dvr eastates,Residential Plot,26.99,"1,499 / sq ft",1800 ,New
4654,Dvr eastates,Residential Plot,13.5,"1,000 / sq ft",1350 ,New
4655,Dvr eastates,Residential Plot,15,"1,111 / sq ft",1350 ,New
4656,Dvr eastates,Residential Plot,36,"2,000 / sq ft",1800 ,New
4657,Dvr eastates,Residential Plot,36,"2,000 / sq ft",1800 ,New
4658,Dvr eastates,Residential Plot,27,"2,000 / sq ft",1350 ,New
4659,Dvr eastates,Residential Plot,26.98,"1,999 / sq ft",1350 ,New
4660,Dvr eastates,Residential Plot,15,555 / sq ft,2700 ,New
4661,Dvr eastates,Residential Plot,15,"1,111 / sq ft",1350 ,New
4662,Dvr eastates,Residential Plot,36,"2,000 / sq ft",1800 ,New
4663,Kastro Realty,4 ,2.55,"7,348 / sq ft",3470 ,Ready to move
4664,HOMELAND REALTY SOLUTIONS,5 ,5,"11,111 / sq ft",4500 ,Ready to move
4665,Mythri Projects,Residential Plot,19.95,"1,477 / sq ft",1350 ,Resale
4666,Mythri Projects,Residential Plot,12,888 / sq ft,1350 ,New
4667,Arjun Associates,Residential Plot,10.5,777 / sq ft,1350 ,New
4668,Arjun Associates,Residential Plot,10.5,777 / sq ft,1350 ,New
4669,Prime Estates,4 ,3.05,"7,218 / sq ft",4225 ,Under Construction
4670,Prime Estates,4 ,3.05,"7,218 / sq ft",4225 ,Under Construction
4671,Prime Estates,4 ,2.56,"7,180 / sq ft",3565 ,Under Construction
4672,Prime Estates,4 ,2.56,"7,180 / sq ft",3565 ,Under Construction
4673,Prime Estates,3 ,2.56,"7,180 / sq ft",3565 ,Under Construction
4674,Shiva Rao,2 ,42,"4,421 / sq ft",950 ,Ready to move
4675,Royal Rajputana Co,2 ,53,"4,416 / sq ft",1200 ,Ready to move
4676,Royal Rajputana Co,3 ,65,"4,145 / sq ft",1568 ,Ready to move
4677,Mahesh Bairi,5 ,2,"6,250 / sq ft",3200 ,Ready to move
4678,yadamma nagar,4 ,1.25,"5,208 / sq ft",2400 ,Ready to move
4679,yadamma nagar,4 ,1.3,"5,200 / sq ft",2500 ,Ready to move
4680,Pranava Projects,3 ,1.07,"5,150 / sq ft",2083 ,Under Construction
4681,Pranava Projects,2 ,63.68,"5,050 / sq ft",1261 ,Under Construction
4682,Pranava Projects,2 ,64.94,"5,150 / sq ft",1261 ,Under Construction
4683,Pranava Projects,2 ,63.68,"5,050 / sq ft",1261 ,Under Construction
4684,Pranava Projects,3 ,1.05,"5,050 / sq ft",2083 ,Under Construction
4685,Pranava Projects,3 ,1.07,"5,150 / sq ft",2083 ,Under Construction
4686,Pranava Projects,3 ,1.05,"5,052 / sq ft",2083 ,Under Construction
4687,Royal Rajputana Co,1 ,20,"4,115 / sq ft",486 ,Ready to move
4688,Mohan Rao,2 ,60,"4,694 / sq ft",1278 ,Ready to move
4689,Mohan Rao,3 ,75,"4,918 / sq ft",1525 ,Under Construction
4690,Mohan Rao,2 ,65,"4,961 / sq ft",1310 ,Under Construction
4691,Mohan Rao,3 ,70,"4,697 / sq ft",1490 ,Ready to move
4692,Kosher Proctor I Pvt Ltd,3 ,72.5,"5,000 / sq ft",1450 ,Under Construction
4693,Kosher Proctor I Pvt Ltd,3 ,78,"5,000 / sq ft",1560 ,Under Construction
4694,Fido Property Management,3 ,85,"5,573 / sq ft",1525 ,Ready to move
4695,Fido Property Management,3 ,85,"5,573 / sq ft",1525 ,Ready to move
4696,Fido Property Management,3 ,85,"5,573 / sq ft",1525 ,Ready to move
4697,Bestpropin,2 ,86.5,"6,577 / sq ft",1315 ,Ready to move
4698,Royal Rajputana Co,1 ,35,"5,833 / sq ft",600 ,Ready to move
4699,Nabid,2 ,49,"3,888 / sq ft",1260 ,Ready to move
4700,Venu Gopal,4 ,2.2,"4,400 / sq ft",5000 ,Ready to move
4701,Vamsi Kishan,2 ,28.99,"2,416 / sq ft",1200 ,Under Construction
4702,Dhathrri services,2 ,35.73,"4,150 / sq ft",861 ,Under Construction
4703,Vision VVK Housing India PVT LTD,Residential Plot,21.71,"1,444 / sq ft",1503 ,New
4704,Ravi Varma,2 ,40.63,"3,400 / sq ft",1195 ,Under Construction
4705,Mythri Projects,Residential Plot,12.75,944 / sq ft,1350 ,New
4706,Sai Deeksha Developers,Residential Plot,25.05,"1,666 / sq ft",1503 ,New
4707,Sai Deeksha Developers,Residential Plot,54.04,"3,111 / sq ft",1737 ,New
4708,Sai Deeksha Developers,Residential Plot,51.24,"3,111 / sq ft",1647 ,New
4709,Sai Deeksha Developers,Residential Plot,50.4,"3,111 / sq ft",1620 ,New
4710,Sai Deeksha Developers,Residential Plot,53.2,"3,111 / sq ft",1710 ,New
4711,Srikanth,Residential Plot,1.56,"6,499 / sq ft",2403 ,New
4712,Srikanth,Residential Plot,1.6,"6,666 / sq ft",2403 ,New
4713,Vision VVK Housing India PVT LTD,Residential Plot,21.71,"1,444 / sq ft",1503 ,New
4714,Sai Deeksha Developers,Residential Plot,35.2,"2,444 / sq ft",1440 ,New
4715,Asrithas Group,Residential Plot,21.7,"1,444 / sq ft",1503 ,New
4716,suresh,3 ,89,"5,219 / sq ft",1705 ,Under Construction
4717,suresh,2 ,65.5,"5,325 / sq ft",1230 ,Under Construction
4718,Bestpropin,2 ,61.68,"5,658 / sq ft",1090 ,Ready to move
4719,Bestpropin,2 ,71.55,"5,913 / sq ft",1210 ,Under Construction
4720,Bestpropin,2 ,71.82,"5,911 / sq ft",1215 ,Under Construction
4721,Royal Rajputana Co,2 ,48,"4,363 / sq ft",1100 ,Ready to move
4722,Royal Rajputana Co,2 ,53.35,"4,540 / sq ft",1175 ,Ready to move
4723,Royal Rajputana Co,4 ,75,"3,409 / sq ft",2200 ,Ready to move
4724,Nabid,5 ,2.3,"6,388 / sq ft",3600 ,Ready to move
4725,Kosher Proctor I Pvt Ltd,2 ,67.77,"4,800 / sq ft",1412 ,Under Construction
4726,Kosher Proctor I Pvt Ltd,3 ,63.26,"4,800 / sq ft",1318 ,Under Construction
4727,Kosher Proctor I Pvt Ltd,2 ,53.95,"4,800 / sq ft",1124 ,Under Construction
4728,Kosher Proctor I Pvt Ltd,2 ,45.64,"4,800 / sq ft",951 ,Under Construction
4729,Bestpropin,3 ,46,"4,380 / sq ft",1050 ,Ready to move
4730,Mahesh Bairi,2 ,30.2,"2,890 / sq ft",1045 ,Under Construction
4731,Fido Property Management,3 ,85,"5,573 / sq ft",1525 ,Ready to move
4732,Mallikarjun Goud,2 ,18,"1,500 / sq ft",1200 ,Under Construction
4733,Venu Gopal,3 ,86,"4,666 / sq ft",1843 ,Ready to move
4734,Prasad,1 ,25,"4,118 / sq ft",607 ,Under Construction
4735,Vardhan,2 ,38.79,"3,400 / sq ft",1141 ,Under Construction
4736,Hrushi Properties,1 ,27,"4,500 / sq ft",600 ,Under Construction
4737,Kosher Proctor I Pvt Ltd,2 ,83.35,"6,900 / sq ft",1208 ,Under Construction
4738,Shiva Rao,5 ,1.24,"3,542 / sq ft",3500 ,Ready to move
4739,Shiva Rao,4 ,1.75,"4,375 / sq ft",4000 ,Ready to move
4740,Shiva Rao,4 ,1.75,"4,375 / sq ft",4000 ,Ready to move
4741,Srikanth,4 ,1.15,"5,000 / sq ft",2300 ,Ready to move
4742,Vardhan,2 ,41,"3,593 / sq ft",1141 ,Under Construction
4743,Sai Deeksha Developers,Residential Plot,44,"2,444 / sq ft",1800 ,New
4744,Sai Deeksha Developers,Residential Plot,36.74,"2,444 / sq ft",1503 ,New
4745,Sai Deeksha Developers,Residential Plot,33,"2,444 / sq ft",1350 ,New
4746,Prasad,Residential Plot,15,138 / sq ft,10800 ,New
4747,Sai Deeksha Developers,Residential Plot,50.4,"3,111 / sq ft",1620 ,New
4748,Sai Deeksha Developers,Residential Plot,68.88,"3,111 / sq ft",2214 ,New
4749,Sai Deeksha Developers,Residential Plot,54.04,"3,111 / sq ft",1737 ,New
4750,Arjun Associates,Residential Plot,14,777 / sq ft,1800 ,New
4751,Rummaan Realtors,1 ,70,"4,666 / sq ft",1500 ,Ready to move
4752,Om Sri Sai Ram Rentals,2 ,1.1,"10,185 / sq ft",1080 ,Ready to move
4753,Bestpropin,3 ,1.08,"5,615 / sq ft",1925 ,Ready to move
4754,Bestpropin,3 ,1.27,"6,615 / sq ft",1925 ,Ready to move
4755,Bestpropin,2 ,80.7,"7,238 / sq ft",1115 ,Ready to move
4756,BNPR PROJECTS,4 ,1.35,"3,786 / sq ft",3565 ,Under Construction
4757,Ayyappa Real Estates and Rentals,2 ,47,"3,916 / sq ft",1200 ,Ready to move
4758,Bestpropin,3 ,1.28,"6,612 / sq ft",1940 ,Ready to move
4759,Royal Rajputana Co,3 ,64.84,"4,156 / sq ft",1560 ,Ready to move
4760,Mahesh Bairi,2 ,41.6,"3,200 / sq ft",1300 ,Under Construction
4761,Mahesh Bairi,2 ,48.3,"4,200 / sq ft",1150 ,Under Construction
4762,Mahesh Bairi,2 ,54.6,"4,200 / sq ft",1300 ,Under Construction
4763,Mahesh Bairi,2 ,58.8,"4,200 / sq ft",1400 ,Under Construction
4764,Dhathrri services,2 ,23.04,"2,400 / sq ft",960 ,Under Construction
4765,Mahesh Bairi,2 ,40,"3,200 / sq ft",1250 ,Under Construction
4766,PROPBELLC,3 ,2.93,"8,500 / sq ft",3448 ,Under Construction
4767,PROPBELLC,1 ,78.72,"6,199 / sq ft",1270 ,Under Construction
4768,Om Sri Sai Ram Rentals,2 ,79,"6,448 / sq ft",1225 ,Ready to move
4769,Vamsi Kishan,2 ,35.9,"2,600 / sq ft",1381 ,Under Construction
4770,Mahesh Bairi,2 ,43.2,"3,200 / sq ft",1350 ,Under Construction
4771,Mahesh Bairi,2 ,56.7,"4,200 / sq ft",1350 ,Under Construction
4772,Mahesh Bairi,2 ,52.5,"4,200 / sq ft",1250 ,Under Construction
4773,Dhathrri services,2 ,25.51,"2,181 / sq ft",1170 ,Under Construction
4774,Dhathrri services,2 ,28.8,"2,461 / sq ft",1170 ,Under Construction
4775,Dhathrri services,2 ,28.8,"2,400 / sq ft",1200 ,Under Construction
4776,Dhathrri services,2 ,28.8,"2,400 / sq ft",1200 ,Under Construction
4777,Kosher Proctor I Pvt Ltd,2 ,31.94,"3,900 / sq ft",819 ,Under Construction
4778,Dhathrri services,3 ,34.2,"2,400 / sq ft",1425 ,Under Construction
4779,Kazim Co Real Estate,3 ,62,"4,092 / sq ft",1515 ,Under Construction
4780,Kosher Proctor I Pvt Ltd,3 ,54.05,"1,287 / sq ft",4200 ,Under Construction
4781,Dhathrri services,3 ,34.2,"2,400 / sq ft",1425 ,Under Construction
4782,Dhathrri services,3 ,34.2,"2,400 / sq ft",1425 ,Under Construction
4783,Dhathrri services,3 ,34.2,"2,400 / sq ft",1425 ,Under Construction
4784,Dhathrri services,3 ,34.2,"2,400 / sq ft",1425 ,Under Construction
4785,Kosher Proctor I Pvt Ltd,3 ,90.22,"5,200 / sq ft",1735 ,Ready to move
4786,Dhathrri services,3 ,34.2,"2,400 / sq ft",1425 ,Under Construction
4787,Kosher Proctor I Pvt Ltd,2 ,64.74,"5,200 / sq ft",1245 ,Ready to move
4788,Dhathrri services,3 ,34.2,"2,400 / sq ft",1425 ,Under Construction
4789,Kosher Proctor I Pvt Ltd,2 ,61.1,"5,200 / sq ft",1175 ,Ready to move
4790,Dhathrri services,3 ,34.2,"2,400 / sq ft",1425 ,Under Construction
4791,Kosher Proctor I Pvt Ltd,3 ,1.02,"4,899 / sq ft",2083 ,Under Construction
4792,Dhathrri services,3 ,34.2,"2,400 / sq ft",1425 ,Under Construction
4793,Kosher Proctor I Pvt Ltd,2 ,61.77,"4,899 / sq ft",1261 ,Under Construction
4794,Dhathrri services,3 ,34.2,"2,400 / sq ft",1425 ,Under Construction
4795,Kosher Proctor I Pvt Ltd,3 ,79.63,"4,999 / sq ft",1593 ,Under Construction
4796,Dhathrri services,3 ,34.2,"2,400 / sq ft",1425 ,Under Construction
4797,Kosher Proctor I Pvt Ltd,3 ,87.28,"5,500 / sq ft",1587 ,Under Construction
4798,Dhathrri services,3 ,34.2,"2,400 / sq ft",1425 ,Under Construction
4799,Kosher Proctor I Pvt Ltd,3 ,98.56,"5,500 / sq ft",1792 ,Under Construction
4800,Kosher Proctor I Pvt Ltd,2 ,71.88,"5,500 / sq ft",1307 ,Under Construction
4801,Dhathrri services,3 ,34.2,"2,400 / sq ft",1425 ,Under Construction
4802,Nabid,3 ,1.1,"6,470 / sq ft",1700 ,Ready to move
4803,Kosher Proctor I Pvt Ltd,3 ,1.45,"7,000 / sq ft",2075 ,Under Construction
4804,Kosher Proctor I Pvt Ltd,3 ,1.48,"7,000 / sq ft",2125 ,Under Construction
4805,PROPBELLC,2 ,82.86,"5,599 / sq ft",1480 ,Under Construction
4806,PROPBELLC,1 ,78.72,"6,199 / sq ft",1270 ,Under Construction
4807,PROPBELLC,3 ,1.21,"6,500 / sq ft",1875 ,Under Construction
4808,PROPBELLC,3 ,2.93,"8,500 / sq ft",3448 ,Under Construction
4809,Om Sri Sai Ram Rentals,2 ,79,"6,448 / sq ft",1225 ,Ready to move
4810,Vamsi Kishan,2 ,35.9,"2,600 / sq ft",1381 ,Under Construction
4811,PROPBELLC,3 ,1.25,"6,641 / sq ft",1882 ,Ready to move
4812,Nabid,3 ,3.2,"12,093 / sq ft",2646 ,Ready to move
4813,Nabid,2 ,80,"14,545 / sq ft",550 ,Ready to move
4814,Royal Rajputana Co,2 ,28,"3,043 / sq ft",920 ,Ready to move
4815,Nabid,2 ,1.7,"7,074 / sq ft",2403 ,Ready to move
4816,Hrushi Properties,2 ,48,"3,529 / sq ft",1360 ,Under Construction
4817,Sai Deeksha Developers,Residential Plot,40.05,"1,666 / sq ft",2403 ,New
4818,Kranthi C,2 ,50.2,"4,563 / sq ft",1100 ,Under Construction
4819,Rummaan Realtors,3 ,60,"4,073 / sq ft",1473 ,Ready to move
4820,Rummaan Realtors,3 ,60,"4,073 / sq ft",1473 ,Ready to move
4821,Sai Deeksha Developers,Residential Plot,27.89,"1,161 / sq ft",2403 ,New
4822,Sai Deeksha Developers,Residential Plot,40.05,"1,666 / sq ft",2403 ,New
4823,Sai Deeksha Developers,Residential Plot,30,"1,666 / sq ft",1800 ,New
4824,Sai Deeksha Developers,Residential Plot,25.05,"1,666 / sq ft",1503 ,New
4825,Sai Deeksha Developers,2 ,1.2,"8,888 / sq ft",1350 ,Ready to move
4826,Sai Deeksha Developers,3 ,84,"5,911 / sq ft",1421 ,Ready to move
4827,Mythri Projects,Residential Plot,21.71,"1,444 / sq ft",1503 ,New
4828,Mythri Projects,Residential Plot,9,666 / sq ft,1350 ,New
4829,Dvr eastates,Residential Plot,36,"2,000 / sq ft",1800 ,New
4830,Mythri Projects,Residential Plot,19.5,"1,444 / sq ft",1350 ,New
4831,Sai Deeksha Developers,Residential Plot,40.05,"1,666 / sq ft",2403 ,New
4832,Mythri Projects,Residential Plot,19.98,"1,669 / sq ft",1197 ,New
4833,Mythri Projects,Residential Plot,12.75,944 / sq ft,1350 ,New
4834,Mythri Projects,Residential Plot,9,666 / sq ft,1350 ,New
4835,Prasad,Residential Plot,18.5,685 / sq ft,2700 ,New
4836,Arjun Associates,Residential Plot,10.5,777 / sq ft,1350 ,New
4837,Arjun Associates,Residential Plot,10.5,777 / sq ft,1350 ,New
4838,Bhoyaj Realtor,Residential Plot,18,"1,333 / sq ft",1350 ,New
4839,Kastro Realty,3 ,1.3,"6,813 / sq ft",1908 ,Under Construction
4840,Kastro Realty,2 ,80,"7,142 / sq ft",1120 ,Under Construction
4841,Mahesh Bairi,2 ,54.6,"4,200 / sq ft",1300 ,Under Construction
4842,Mahesh Bairi,2 ,30.49,"2,699 / sq ft",1130 ,Under Construction
4843,Mahesh Bairi,3 ,59.2,"3,200 / sq ft",1850 ,Under Construction
4844,Mahesh Bairi,2 ,33.31,"2,697 / sq ft",1235 ,Under Construction
4845,Mahesh Bairi,2 ,30.51,"2,700 / sq ft",1130 ,Under Construction
4846,Mahesh Bairi,2 ,33.73,"2,699 / sq ft",1250 ,Under Construction
4847,Mahesh Bairi,2 ,31.05,"2,700 / sq ft",1150 ,Under Construction
4848,Mahesh Bairi,2 ,40,"3,200 / sq ft",1250 ,Under Construction
4849,Mahesh Bairi,2 ,36.43,"2,699 / sq ft",1350 ,Under Construction
4850,Mahesh Bairi,2 ,29.68,"2,699 / sq ft",1100 ,Under Construction
4851,Mahesh Bairi,3 ,46.4,"3,200 / sq ft",1450 ,Under Construction
4852,Mahesh Bairi,3 ,48,"3,200 / sq ft",1500 ,Under Construction
4853,Mahesh Bairi,2 ,36.8,"3,200 / sq ft",1150 ,Under Construction
4854,Mahesh Bairi,2 ,63,"4,200 / sq ft",1500 ,Under Construction
4855,Mahesh Bairi,3 ,57.6,"3,200 / sq ft",1800 ,Under Construction
4856,Mahesh Bairi,2 ,58.8,"4,200 / sq ft",1400 ,Under Construction
4857,Mahesh Bairi,2 ,36.8,"3,200 / sq ft",1150 ,Under Construction
4858,Fido Property Management,2 ,38,"3,518 / sq ft",1080 ,Ready to move
4859,Mallikarjun Goud,2 ,50,"4,739 / sq ft",1055 ,Under Construction
4860,Mallikarjun Goud,2 ,50,"4,739 / sq ft",1055 ,Under Construction
4861,Mallikarjun Goud,2 ,37,"3,507 / sq ft",1055 ,Under Construction
4862,Mallikarjun Goud,2 ,27,"2,559 / sq ft",1055 ,Under Construction
4863,Mallikarjun Goud,2 ,50,"4,739 / sq ft",1055 ,Under Construction
4864,Mallikarjun Goud,2 ,37,"3,507 / sq ft",1055 ,Under Construction
4865,Mallikarjun Goud,3 ,65,"4,642 / sq ft",1400 ,Under Construction
4866,Mallikarjun Goud,3 ,49,"3,500 / sq ft",1400 ,Under Construction
4867,Mallikarjun Goud,3 ,36,"2,571 / sq ft",1400 ,Under Construction
4868,Mahesh Bairi,2 ,54.6,"4,200 / sq ft",1300 ,Under Construction
4869,Mahesh Bairi,2 ,30.49,"2,699 / sq ft",1130 ,Under Construction
4870,Mahesh Bairi,3 ,59.2,"3,200 / sq ft",1850 ,Under Construction
4871,Mahesh Bairi,2 ,33.31,"2,697 / sq ft",1235 ,Under Construction
4872,Mahesh Bairi,2 ,30.51,"2,700 / sq ft",1130 ,Under Construction
4873,Mahesh Bairi,2 ,33.73,"2,699 / sq ft",1250 ,Under Construction
4874,Mahesh Bairi,2 ,31.05,"2,700 / sq ft",1150 ,Under Construction
4875,Mahesh Bairi,2 ,40,"3,200 / sq ft",1250 ,Under Construction
4876,Mahesh Bairi,2 ,36.43,"2,699 / sq ft",1350 ,Under Construction
4877,Mahesh Bairi,2 ,29.68,"2,699 / sq ft",1100 ,Under Construction
4878,Mahesh Bairi,3 ,46.4,"3,200 / sq ft",1450 ,Under Construction
4879,Mahesh Bairi,3 ,48,"3,200 / sq ft",1500 ,Under Construction
4880,Mahesh Bairi,2 ,36.8,"3,200 / sq ft",1150 ,Under Construction
4881,Mahesh Bairi,2 ,63,"4,200 / sq ft",1500 ,Under Construction
